case_id,provider_kind,model,status,failure_type,latency_ms,protocol_valid,coverage_percent,duplicate_count,patch_valid,title_score_1_5,grouping_score_1_5,style_score_1_5,accepted_without_regroup,notes
case-001-4dca5a605a,local,,not_run,,,,,,,,,,,
case-001-4dca5a605a,remote,,not_run,,,,,,,,,,,
case-002-d1da6902b5,local,,not_run,,,,,,,,,,,
case-002-d1da6902b5,remote,,not_run,,,,,,,,,,,
case-003-09772efa2f,local,,not_run,,,,,,,,,,,
case-003-09772efa2f,remote,,not_run,,,,,,,,,,,
case-004-28766f3333,local,,not_run,,,,,,,,,,,
case-004-28766f3333,remote,,not_run,,,,,,,,,,,
case-005-7065bb930a,local,,not_run,,,,,,,,,,,
case-005-7065bb930a,remote,,not_run,,,,,,,,,,,
case-006-117fd80963,local,,not_run,,,,,,,,,,,
case-006-117fd80963,remote,,not_run,,,,,,,,,,,
case-007-a69164ec70,local,,not_run,,,,,,,,,,,
case-007-a69164ec70,remote,,not_run,,,,,,,,,,,
case-008-f3e8e1c538,local,,not_run,,,,,,,,,,,
case-008-f3e8e1c538,remote,,not_run,,,,,,,,,,,
case-009-2db886b97d,local,,not_run,,,,,,,,,,,
case-009-2db886b97d,remote,,not_run,,,,,,,,,,,
case-010-966fe27499,local,,not_run,,,,,,,,,,,
case-010-966fe27499,remote,,not_run,,,,,,,,,,,
case-011-173b6f9d6c,local,,not_run,,,,,,,,,,,
case-011-173b6f9d6c,remote,,not_run,,,,,,,,,,,
case-012-a6dd775396,local,,not_run,,,,,,,,,,,
case-012-a6dd775396,remote,,not_run,,,,,,,,,,,
case-013-d4d41ccb16,local,,not_run,,,,,,,,,,,
case-013-d4d41ccb16,remote,,not_run,,,,,,,,,,,
case-014-63ff5dc205,local,,not_run,,,,,,,,,,,
case-014-63ff5dc205,remote,,not_run,,,,,,,,,,,
case-015-a99506d6de,local,,not_run,,,,,,,,,,,
case-015-a99506d6de,remote,,not_run,,,,,,,,,,,
case-016-09fee3e2e8,local,,not_run,,,,,,,,,,,
case-016-09fee3e2e8,remote,,not_run,,,,,,,,,,,
case-017-8808dc519a,local,,not_run,,,,,,,,,,,
case-017-8808dc519a,remote,,not_run,,,,,,,,,,,
case-018-bccde52eef,local,,not_run,,,,,,,,,,,
case-018-bccde52eef,remote,,not_run,,,,,,,,,,,
case-019-c714654a55,local,,not_run,,,,,,,,,,,
case-019-c714654a55,remote,,not_run,,,,,,,,,,,
case-020-7d31a23b4e,local,,not_run,,,,,,,,,,,
case-020-7d31a23b4e,remote,,not_run,,,,,,,,,,,
case-021-6681d2c8e0,local,,not_run,,,,,,,,,,,
case-021-6681d2c8e0,remote,,not_run,,,,,,,,,,,
case-022-0acd01385a,local,,not_run,,,,,,,,,,,
case-022-0acd01385a,remote,,not_run,,,,,,,,,,,
case-023-fc709259dd,local,,not_run,,,,,,,,,,,
case-023-fc709259dd,remote,,not_run,,,,,,,,,,,
case-024-32797791b7,local,,not_run,,,,,,,,,,,
case-024-32797791b7,remote,,not_run,,,,,,,,,,,
case-025-1b305be45f,local,,not_run,,,,,,,,,,,
case-025-1b305be45f,remote,,not_run,,,,,,,,,,,
case-026-b7388d8945,local,,not_run,,,,,,,,,,,
case-026-b7388d8945,remote,,not_run,,,,,,,,,,,
case-027-d1f4f7424d,local,,not_run,,,,,,,,,,,
case-027-d1f4f7424d,remote,,not_run,,,,,,,,,,,
case-028-47795bd1f1,local,,not_run,,,,,,,,,,,
case-028-47795bd1f1,remote,,not_run,,,,,,,,,,,
case-029-13cc10e6c8,local,,not_run,,,,,,,,,,,
case-029-13cc10e6c8,remote,,not_run,,,,,,,,,,,
case-030-290a477ba9,local,,not_run,,,,,,,,,,,
case-030-290a477ba9,remote,,not_run,,,,,,,,,,,
